Country Name,2017
Aruba,0
Afghanistan,585.85006378237
Angola,4170.31228024945
Albania,4537.8624924478
Andorra,39146.5488360905
Arab World,6251.1415751198
United Arab Emirates,40698.8493360368
Argentina,14401.9748546081
Armenia,3936.79831965287
American Samoa,0
Antigua and Barbuda,15021.7381833074
Australia,53799.9380899599
Austria,47290.9116498316
Azerbaijan,4131.61831005055
Burundi,320.086870120894
Belgium,43323.8073364711
Benin,829.797230600794
Burkina Faso,670.705913111953
Bangladesh,1516.51342307197
Bulgaria,8031.59844245699
Bahrain,23655.0356024013
"Bahamas, The",30762.0124392644
Bosnia and Herzegovina,5180.63630093473
Belarus,5726.02967250931
Belize,4905.50628401227
Bermuda,0
Bolivia,3393.95581751781
Brazil,9821.40768641008
Barbados,16788.6839195944
Brunei Darussalam,28290.5851955712
Bhutan,3110.23011252519
Botswana,7595.59584978559
Central African Republic,418.411287036182
Canada,45032.1199081697
Central Europe and the Baltics,14122.3358495965
Switzerland,80189.6968607849
Channel Islands,0
Chile,15346.4496997595
China,8826.99409574835
Cote d'Ivoire,1662.44246666917
Cameroon,1446.7028948332
"Congo, Dem. Rep.",457.847386806339
"Congo, Rep.",1658.04362511719
Colombia,6301.58987782717
Comoros,797.286368474789
Cabo Verde,3209.69111999666
Costa Rica,11630.6683963387
Caribbean small states,9517.93264393172
Cuba,0
Curacao,0
Cayman Islands,0
Cyprus,25233.570984591
Czech Republic,20368.1385576071
Germany,44469.9090607244
Djibouti,1927.58970569415
Dominica,7609.61434887711
Denmark,56307.5082995258
Dominican Republic,7052.25883896858
Algeria,4123.38993650709
East Asia & Pacific (excluding high income),7127.72037022007
Early-demographic dividend,3500.73520460308
East Asia & Pacific,10369.691406651
Europe & Central Asia (excluding high income),7942.56038881424
Europe & Central Asia,23416.1078194071
Ecuador,6198.94732333954
Egypt,2412.72708185213
Euro area,36869.054428756
Eritrea,0
Spain,28156.8158362352
Estonia,19704.655040239
Ethiopia,767.563477815809
European Union,33715.1273620589
Fragile and conflict affected situations,1624.61825214233
Finland,45703.327865074
Fiji,5589.38883340896
France,38476.6586361575
Faroe Islands,0
"Micronesia, Fed. Sts.",3187.5571598575
Gabon,7220.68723532493
United Kingdom,39720.4434267836
Georgia,4078.25487917912
Ghana,1641.48662461369
Gibraltar,0
Guinea,825.344929766329
"Gambia, The",483.022458620079
Guinea-Bissau,723.658621625927
Equatorial Guinea,9850.01358478141
Greece,18613.4238733817
Grenada,10376.2270290508
Greenland,0
Guatemala,4470.98957191189
Guam,0
Guyana,4725.31906329949
High income,41211.1169464344
"Hong Kong SAR, China",46193.6145204282
Honduras,2480.12592858547
Heavily indebted poor countries (HIPC),952.505998683796
Croatia,13294.5149256785
Haiti,765.683924629642
Hungary,14224.8464577027
IBRD only,6039.83195640059
IDA & IBRD total,4838.78578179343
IDA total,1304.15815895808
IDA blend,1717.26462716662
Indonesia,3846.86432330998
IDA only,1101.30565367983
Isle of Man,0
India,1939.61298448814
Not classified,0
Ireland,69330.6901544912
